participant id,event date,event name,event type,time,category
46,2013-09-15,la grande vadrouille,10km,00:56:32,f50-59
46,2013-08-25,la valse des coureurs,10 km,00:57:02,f50-59
46,2013-08-14,le 5km endurance,5 km,00:27:01,f50-59
46,2013-08-04,défi boréal sainte-anne-de-bellevue,20 km,02:06:28,f50-59
46,2013-05-26,ottawa race weekend,ottawa marathon,-1,f50-54
46,2013-04-28,banque scotia 21km et 5km,21 km,02:02:30,f50-54
46,2013-03-24,course et marche populaires de lasalle,10 km,00:56:01,f50-59
47,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:18:21,f30-34
48,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:23:30,m60-64
48,2014-08-03,défi boréal sainte-anne-de-bellevue,20 km,01:48:44,m60-69
48,2014-04-13,course saint-laurent,10 km,00:50:14,m60-69
48,2013-10-06,classique du parc la fontaine,10 km,00:49:20,m60-69
48,2013-04-14,course saint-laurent,10 km,00:51:38,m60-69
49,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:31:04,m40-44
50,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,06:53:51,m45-49
51,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,05:19:55,f25-29
52,2013-06-29,tupper lake tinman triathlon,tinman triathlon,05:22:47,m25-29
52,2013-02-17,winterman marathon and marathon relays,half marathon,01:34:31,m25-29
52,2012-12-02,ri ra santa 5k,5km run/walk,00:36:53,m25-29
52,2012-09-23,marathon oasis de montreal,marathon,03:14:23,m25-29
52,2012-09-08,triathlon esprit de montreal,triathlon olympique,02:36:27,m25-29
53,2016-04-24,banque scotia 21k de montreal,demi marathon,-1,m30-34
53,2014-09-28,marathon oasis rock ‘n’ roll de montréal,demi-marathon,01:46:22,m30-34
53,2014-05-25,tamarack ottawa race weekend,scotiabank ottawa half marathon,-1,m30-34
53,2013-09-22,marathon oasis de montreal,marathon,04:16:56,m30-34
53,2013-04-28,banque scotia 21km et 5km,21 km,01:59:52,m30-34
53,2012-10-14,scotiabank toronto waterfront marathon,half marathon,01:37:36,m30-34
53,2012-06-16,tour du lac brome,22.2 km chemin de campagne,02:15:26,m30-39
53,2012-04-29,banque scotia 21km et 5km,21.1 km,01:58:34,m30-34
54,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,06:34:13,f35-39
55,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,06:50:23,f30-34
56,2016-06-19,ironman 70.3 syracuse,overall,05:48:46,m30-34
56,2016-06-05,triathlon challenge antoine-manseau joliette,triathlon sprint ag ouvert,01:16:58,m30-34
56,2013-09-22,marathon oasis de montreal,marathon,03:25:47,m25-29
57,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,03:45:55,m30-34
58,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:32:51,f25-29
59,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:10:03,m25-29
59,2014-06-28,demi marathon de sherbrooke,demi-marathon,01:46:40,m20-29
60,2012-09-23,marathon oasis de montreal,marathon,03:46:04,m30-34
61,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,03:49:07,m25-29
61,2013-09-22,marathon oasis de montreal,marathon,03:47:05,m25-29
61,2012-04-29,banque scotia 21km et 5km,21.1 km,01:51:39,m25-29
62,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,05:22:33,m40-44
63,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:50:04,f30-34
64,2014-04-27,banque scotia 21km et 5km,21 km,01:36:54,m35-39
64,2013-06-16,tour du lac brome,10 km route,00:46:32,m30-39
64,2012-09-23,marathon oasis de montreal,marathon,03:48:10,m35-39
65,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,03:38:44,m45-49
65,2014-04-27,banque scotia 21km et 5km,21 km,01:49:19,m45-49
65,2014-03-30,course et marche populaires de lasalle,5 km,00:24:14,m50-59
65,2013-09-22,marathon oasis de montreal,demi-marathon,01:49:40,m45-49
65,2013-06-16,tour du lac brome,20 km route,01:57:49,m40-49
66,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,01:43:26,m50-54
66,2015-06-13,triathlon fbl drummondville,triathlon sprint,01:33:39,m50-54
66,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,03:37:51,m45-49
66,2014-04-27,banque scotia 21km et 5km,21 km,01:34:03,m45-49
66,2013-09-22,marathon oasis de montreal,marathon,03:33:35,m45-49
66,2013-05-26,ottawa race weekend,ottawa marathon,-1,m45-49
66,2012-09-23,marathon oasis de montreal,marathon,03:32:19,m45-49
66,2012-08-05,défi boréal sainte-anne-de-bellevue,20 km,01:35:12,m40-49
66,2012-06-03,défi tri-o-lacs,10 km,00:43:50,m40-49
67,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,03:52:22,f18-24
68,2013-09-22,marathon oasis de montreal,marathon,05:10:56,m45-49
69,2013-08-10,seawheeze half marathon,half marathon,01:40:29,male
69,2012-09-23,marathon oasis de montreal,marathon,03:32:55,m30-34
70,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,01:54:42,m25-29
71,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:47:36,m40-44
72,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,02:26:44,f35-39
72,2015-09-06,30 km sur les rives de boucherville,15 km,01:29:59,f30-39
73,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,01:49:56,m40-44
74,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,05:54:25,m25-29
75,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,03:45:33,m35-39
75,2015-08-23,demi-marathon bonneville de lachine,21.1 km,01:35:31,m30-39
76,2016-06-19,courses thematiques tour du lac brome merrell,20 km,01:50:18,no age
76,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:42:59,f35-39
77,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,01:50:23,f50-54
77,2015-06-07,course mec montréal #4,10 km,00:52:42,f50-59
78,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:28:30,f35-39
79,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,05:38:11,m50-54
80,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,07:38:30,f50-54
81,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,-1,m30-34
81,2013-09-22,marathon oasis de montreal,demi-marathon,02:11:40,m30-34
82,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:49:42,m50-54
83,2014-09-28,marathon oasis rock ‘n’ roll de montréal,demi-marathon,02:06:52,m40-44
84,2014-09-06,triathlon esprit de montreal,demi esprit,05:52:14,f25-29
84,2013-09-22,marathon oasis de montreal,demi-marathon,01:48:30,f25-29
84,2012-09-23,marathon oasis de montreal,marathon,03:57:08,f25-29
84,2012-07-22,triathlon trimemphre de magog,triathlon olympique,04:23:32,f25-29
84,2012-05-19,ottawa early bird triathlon and duathlon,long triathlon,02:05:00,f25-29
85,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,05:11:54,m50-54
85,2014-08-24,demi-marathon bonneville de lachine,demi-marathon,01:57:28,m50-59
86,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,07:12:49,m30-34
87,2015-09-20,marathon oasis rock 'n' roll de montreal,10 km,01:07:35,f35-39
87,2015-04-25,demi-marathon des érables,demi-marathon,02:29:34,f30-39
88,2015-09-20,marathon oasis rock 'n' roll de montreal,5 km,00:54:26,f35-39
89,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:35:43,m30-34
90,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,03:34:42,m40-44
91,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:30:33,m40-44
92,2015-04-26,banque scotia 21k de montreal,demi marathon,02:09:49,m45-49
92,2014-04-27,banque scotia 21km et 5km,21 km,02:00:40,m45-49
92,2014-03-30,course et marche populaires de lasalle,10 km,01:11:50,m40-49
92,2014-02-16,demi marathon hypothermique,demi-marathon,02:16:57,m40-49
92,2013-09-22,marathon oasis de montreal,marathon,04:29:55,m45-49
93,2014-08-24,marathon ssq lévis-québec,marathon,-1,m50-59
93,2012-09-23,marathon oasis de montreal,marathon,03:20:46,m50-54
94,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,05:30:23,f40-44
95,2015-09-20,marathon oasis rock 'n' roll de montreal,10 km,01:22:27,f30-34
95,2015-09-20,marathon oasis rock 'n' roll de montreal,10 km,00:58:45,f35-39
96,2015-09-20,army run - course de l'armée,5 km,00:37:58,m55-59
96,2014-09-21,army run - course de l'armée,half marathon - demi marathon,02:20:45,m50-54
96,2014-05-25,tamarack ottawa race weekend,scotiabank ottawa marathon,-1,m50-54
96,2013-09-22,marathon oasis de montreal,marathon,04:55:41,m50-54
96,2012-10-20,9 run run,half marathon,02:04:13,m50-54
96,2012-05-27,ottawa race weekend,marathon,04:53:57,m50-54
96,2012-03-25,around the bay road races,30 km,03:39:05,m50-54
97,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,06:45:15,m35-39
98,2012-09-23,marathon oasis de montreal,marathon,04:45:35,m40-44
99,2016-04-30,marathon des érables,marathon,05:03:16,m30-39
99,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,05:43:50,m35-39
100,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,02:17:29,f45-49
100,2013-09-22,marathon oasis de montreal,demi-marathon,02:00:24,f40-44
100,2013-05-26,ottawa race weekend,ottawa half-marathon - demi-marathon,-1,f40-44
100,2013-02-17,demi marathon hypothermique,demi-marathon,02:12:23,f40-49
101,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:19:17,m18-24
102,2013-09-22,marathon oasis de montreal,marathon,04:57:53,m45-49
103,2015-10-03,cross-country saint-laurent select,6km,00:27:30,m30-39
103,2015-05-24,tamarack ottawa race weekend,ottawa half marathon,-1,m30-34
103,2013-09-22,marathon oasis de montreal,marathon,03:47:11,m30-34
103,2013-07-06,course du festival champetre de saint-thecle,10 km,00:48:18,m30-39
103,2012-09-23,marathon oasis de montreal,demi-marathon,02:38:54,m30-34
104,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,05:06:59,f45-49
104,2014-09-07,coupe dix30,30 km,02:48:19,f40-49
104,2014-08-13,le 5km endurance,5 km,00:24:15,f40-49
104,2014-05-25,tamarack ottawa race weekend,scotiabank ottawa marathon,-1,f45-49
104,2014-03-30,around the bay road races,30 km,02:55:54,f45-49
104,2013-11-03,oka road race,half marathon,01:54:01,f40-49
104,2013-04-28,banque scotia 21km et 5km,21 km,02:02:14,f45-49
105,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,06:02:47,f25-29
105,2013-09-22,marathon oasis de montreal,demi-marathon,01:59:19,f25-29
105,2012-09-23,marathon oasis de montreal,demi-marathon,02:04:52,f18-24
106,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,06:00:56,f18-24
106,2014-04-27,banque scotia 21km et 5km,21 km,01:59:53,f20-24
106,2013-04-28,banque scotia 21km et 5km,21 km,02:10:50,f20-24
106,2012-04-29,banque scotia 21km et 5km,21.1 km,02:08:06,f20-24
107,2012-09-23,marathon oasis de montreal,marathon,04:01:46,m45-49
108,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,03:51:16,m25-29
109,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,01:52:00,m50-54
109,2015-06-13,triathlon fbl drummondville,duathlon,01:27:16,m50-59
110,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:05:36,m18-24
111,2013-09-22,marathon oasis de montreal,marathon,03:41:00,f30-34
112,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,03:49:14,f25-29
113,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:56:24,m35-39
114,2015-05-24,tamarack ottawa race weekend,ottawa marathon,-1,m45-49
114,2014-05-25,tamarack ottawa race weekend,scotiabank ottawa marathon,-1,m45-49
114,2013-09-22,marathon oasis de montreal,demi-marathon,01:46:07,m40-44
114,2013-06-16,tour du lac brome,20 km route,01:36:24,m40-49
114,2013-05-26,ottawa race weekend,ottawa half-marathon - demi-marathon,-1,m40-44
114,2013-04-28,banque scotia 21km et 5km,21 km,01:45:45,m40-44
114,2013-03-24,course et marche populaires de lasalle,5 km,00:20:57,m40-49
114,2013-02-17,demi marathon hypothermique,demi-marathon,01:43:24,m40-49
114,2012-10-14,classique du parc la fontaine,10 km,00:45:25,m40-49
114,2012-09-23,marathon oasis de montreal,marathon,04:19:04,m40-44
114,2012-09-09,demi-marathon granby,demi marathon,01:48:36,m40-49
114,2012-06-17,tour du lac brome,20 km route,01:58:58,m40-49
114,2012-04-22,course saint-laurent,5 km,00:24:57,m40-49
114,2012-03-25,course et marche populaires de lasalle,5 km,00:26:09,m40-49
115,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,05:31:53,m35-39
116,2013-09-22,marathon oasis de montreal,marathon,04:15:38,f55-59
117,2016-07-15,demi-marathon de la bande du canal,5 km,-1,m40-49
117,2016-04-30,marathon des érables,30 km,03:16:18,m40-49
117,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,05:40:50,m40-44
117,2013-09-07,defi je bouge,10 km,01:11:05,m30-39
118,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,02:27:32,f18-24
119,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,01:42:45,m50-54
120,2016-05-08,défi gérard-côté,5 km course/marche,00:35:51,f30-39
120,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,06:37:08,f30-34
120,2014-07-13,challenge o2 merrell,triathlon olympique,03:22:55,f30-34
121,2016-06-25,mud hero montreal,6km obstacle course,01:15:57,m40-44
121,2014-09-28,marathon oasis rock ‘n’ roll de montréal,demi-marathon,02:26:14,m30-34
121,2014-05-25,tamarack ottawa race weekend,scotiabank ottawa half marathon,-1,m30-34
121,2013-09-22,marathon oasis de montreal,marathon,04:26:23,m30-34
121,2012-09-23,marathon oasis de montreal,demi-marathon,01:56:50,m25-29
121,2012-05-26,ottawa race weekend,10 km,00:57:56,m25-29
122,2015-09-20,marathon oasis rock 'n' roll de montreal,10 km,00:48:48,m30-34
122,2013-09-22,marathon oasis de montreal,marathon,04:03:19,m25-29
122,2013-08-25,marathon des deux rives lévis-québec,demi-marathon,01:46:05,m20-29
122,2013-06-16,tour du lac brome,20 km route,02:01:14,m20-29
122,2013-05-12,defi gerard cote de st-hyacinthe,10 km,00:49:43,m20-29
122,2012-08-26,marathon des deux rives lévis-québec,demi-marathon,-1,m20-29
123,2013-09-22,marathon oasis de montreal,marathon,04:33:54,f45-49
124,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:07:51,f45-49
124,2015-05-09,cours après moi,10 km,-1,f40-49
125,2013-09-22,marathon oasis de montreal,marathon,03:39:01,m35-39
125,2013-05-05,demi marathon international oasis de levis,demi marathon,01:43:15,m30-39
126,2013-09-22,marathon oasis de montreal,marathon,04:02:10,m30-34
127,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:39:54,m55-59
127,2013-09-22,marathon oasis de montreal,marathon,04:21:52,m55-59
128,2013-09-22,marathon oasis de montreal,marathon,04:23:32,f18-24
128,2012-09-23,marathon oasis de montreal,demi-marathon,01:47:38,f18-24
128,2012-06-24,scotiabank vancouver half marathon & 5k,half marathon,02:06:34,f16-19
129,2016-09-11,triathlon esprit de montreal,triathlon olympique,-1,m45-49
129,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:04:03,m45-49
129,2015-05-24,tamarack ottawa race weekend,ottawa marathon,-1,m45-49
129,2014-06-22,ironman mont-tremblant 70.3,overall,06:08:31,m45-49
129,2012-04-22,course saint-laurent,10 km,00:51:45,m40-49
130,2012-09-23,marathon oasis de montreal,marathon,03:27:17,m30-34
131,2013-09-22,marathon oasis de montreal,marathon,04:26:15,m30-34
132,2016-05-08,au rythme de nos foulées châteauguay,demi-marathon,02:12:25,f50-59
132,2016-02-21,défi hivernal ile bizard,10 km,00:57:45,f50-59
132,2015-09-06,30 km sur les rives de boucherville,15 km,01:34:39,f50-59
132,2014-08-10,great raisin river footrace,5 km,00:26:54,f50-54
132,2014-06-14,tour du lac brome,22.2 km chemin de campagne,02:24:01,f50-59
132,2014-04-26,run to end ms half-marathon. 5km and 10km,half-marathon,02:05:11,f50-59
132,2014-03-30,around the bay road races,30 km,03:21:28,f50-54
132,2013-09-22,marathon oasis de montreal,marathon,04:39:43,f50-54
132,2013-06-02,beat beethoven 8 km run,8 km,00:45:04,f50-59
132,2013-04-27,run to end ms half-marathon. 5km and 10km,half marathon,02:07:02,f50-59
132,2013-02-17,winterman marathon and marathon relays,half marathon,02:17:02,f50-54
132,2012-08-05,défi boréal sainte-anne-de-bellevue,10 km,01:07:16,f50-59
132,2012-06-17,manitoba marathon,marathon,-1,f50-54
132,2012-06-03,beat beethoven 8 km run,8 km,00:45:36,f50-59
132,2012-04-28,run to end ms half-marathon. 5km and 10km,5 km,00:30:47,f50-59
132,2012-04-22,smith falls spring fling running thing,half marathon,02:08:37,f50-59
133,2013-09-22,marathon oasis de montreal,marathon,03:53:11,m25-29
134,2013-09-22,marathon oasis de montreal,marathon,03:52:01,m50-54
